0	92	19	9	71	9	66	94	58	96	37	2	77	54	94	48	67	75	27	97	43	95	61	71	88	20	5	85	99	8	27	67	84	86	16	14	3	77	74	100	75	70	62	92	37	6	56	10	78	81	39	32	43	30	3	80	23	79	67	14	71	50	17	70	72	64	55	31	31	3	61	86	23	3	58	84	14	92	33	68	21	81	36	12	76	70	22	76	52	72	63	83	54	24	49	61	1	84	36	43
92	0	100	22	58	12	16	23	19	3	50	9	28	97	44	27	16	28	42	93	18	87	28	6	98	76	86	76	45	81	12	29	80	4	47	68	29	28	92	71	81	7	84	30	24	93	18	21	97	80	100	38	81	78	30	62	89	94	47	20	49	27	15	58	3	43	72	83	71	75	48	87	13	48	23	20	99	59	56	64	91	83	37	42	70	63	63	56	34	96	79	55	50	31	10	98	83	40	7	30
19	100	0	79	33	52	17	57	41	9	52	44	39	100	25	11	95	36	23	99	84	25	91	7	38	40	67	99	2	54	23	100	55	46	56	64	34	30	14	5	20	45	30	76	58	54	23	31	64	1	7	84	95	83	57	50	73	14	86	35	58	76	79	38	81	95	87	29	13	27	24	29	46	88	35	63	24	80	16	27	38	32	58	85	89	82	14	90	13	78	76	13	95	53	44	43	100	73	40	55
9	22	79	0	24	68	13	74	13	40	33	58	17	8	3	94	99	26	79	79	75	13	27	60	48	43	23	79	48	64	56	53	7	8	31	66	80	19	48	18	11	16	71	89	8	28	97	65	58	57	78	76	23	17	79	61	60	7	25	30	18	6	10	1	13	83	56	96	62	68	91	13	34	68	31	2	23	82	89	15	26	71	26	40	55	45	40	16	24	80	32	8	92	12	1	21	36	24	17	69
71	58	33	24	0	39	60	63	25	4	39	8	20	72	45	39	88	90	28	84	11	57	63	54	73	95	4	56	30	32	82	9	97	9	76	60	66	27	51	30	16	28	50	8	31	30	39	31	87	41	28	86	11	87	89	63	73	29	12	82	21	67	49	49	40	74	32	18	86	7	7	47	3	34	100	31	27	81	63	45	91	47	97	8	23	92	3	64	74	85	96	31	79	59	62	92	15	49	80	57
9	12	52	68	39	0	41	75	55	63	82	89	49	28	99	24	1	20	21	56	60	29	61	2	22	80	62	6	36	26	84	97	5	75	8	15	45	62	38	22	46	85	82	100	57	47	36	58	73	58	44	55	74	15	8	60	52	62	76	1	85	43	63	52	68	33	97	89	1	44	46	24	86	26	85	95	84	71	3	22	32	56	16	18	81	62	86	59	66	81	11	26	53	83	68	34	35	87	46	37
66	16	17	13	60	41	0	53	77	99	49	32	61	40	59	35	22	55	96	80	68	92	44	78	17	61	23	38	86	13	35	23	29	19	96	75	86	28	35	62	35	56	7	61	56	71	11	57	29	20	56	94	1	4	8	23	14	71	35	84	64	17	64	17	8	88	63	63	71	64	13	42	10	24	30	37	80	59	11	30	46	61	47	37	78	38	50	90	45	35	66	91	47	81	91	59	8	39	93	90
94	23	57	74	63	75	53	0	40	71	63	22	6	18	58	97	12	99	24	93	98	33	63	29	43	40	13	16	7	79	84	6	53	96	51	49	13	15	26	33	38	97	30	58	88	21	94	91	59	96	86	98	31	15	2	54	6	45	72	54	28	56	2	40	57	6	76	48	13	94	47	64	45	85	89	89	49	58	51	2	3	83	12	46	44	82	18	40	39	34	61	20	20	66	52	42	26	10	43	67
58	19	41	13	25	55	77	40	0	43	17	64	87	29	8	54	46	89	78	15	49	64	68	37	44	74	29	88	33	87	39	8	55	67	95	26	87	47	24	96	7	25	39	47	24	12	81	33	12	36	1	40	78	50	10	25	43	99	42	16	57	81	85	81	83	84	75	34	82	97	80	30	65	10	59	76	99	93	96	27	21	13	60	93	22	58	71	52	39	72	78	54	71	39	12	93	4	74	42	40
96	3	9	40	4	63	99	71	43	0	27	38	6	88	39	72	36	67	3	16	31	13	20	29	16	84	70	22	58	86	1	19	21	11	16	3	3	80	48	39	91	52	27	100	95	33	8	68	55	99	25	91	5	52	77	100	24	94	65	56	91	7	72	76	22	23	34	80	81	64	25	59	21	36	68	16	96	90	18	51	30	9	26	76	89	38	6	86	48	96	96	33	30	1	23	27	36	71	89	24
